name	url	sku	priority
Аксессуары. Очки и футляры. Оправы и линзы	https://www.wildberries.ru/catalog/aksessuary/ochki-i-futlyary/opravy-i-linzy	0	3
Аксессуары. Очки и футляры. Очки для компьютера	https://www.wildberries.ru/catalog/aksessuary/ochki-i-futlyary/ochki-dlya-kompyutera	0	4
Аксессуары. Очки и футляры. Очки корригирующие	https://www.wildberries.ru/catalog/aksessuary/ochki-i-futlyary/ochki-korrigiruyushchie	0	3
Аксессуары. Очки и футляры. Солнцезащитные очки	https://www.wildberries.ru/catalog/aksessuary/ochki-i-futlyary/solntsezashchitnye-ochki	0	1
Аксессуары. Перчатки и варежки	https://www.wildberries.ru/catalog/aksessuary/perchatki-i-varezhki	0	2
Аксессуары. Платки и шарфы	https://www.wildberries.ru/catalog/aksessuary/platki-i-sharfy	0	1
Аксессуары. Религиозные. Ислам	https://www.wildberries.ru/catalog/aksessuary/religioznye/islam	0	1
Аксессуары. Религиозные. Православие	https://www.wildberries.ru/catalog/aksessuary/religioznye/pravoslavie	0	4
Аксессуары. Ремни и пояса	https://www.wildberries.ru/catalog/aksessuary/remni-i-poyasa	0	3
Аксессуары. Сумки и рюкзаки. Аксессуары для сумок	https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/aksessuary-dlya-sumok	0	3
Аксессуары. Сумки и рюкзаки. Для ноутбука	https://www.wildberries.ru/catalog/aksessuary/sumki/dlya-noutbuka	0	3
Аксессуары. Сумки и рюкзаки. Клатчи	https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/klatchi	0	3
Аксессуары. Сумки и рюкзаки. Косметички	https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/kosmetichki	0	2
Аксессуары. Сумки и рюкзаки. Папки-сумки	https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/papki-sumki	0	1
Аксессуары. Сумки и рюкзаки. Портфели	https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/portfeli	0	1
Аксессуары. Сумки и рюкзаки. Рюкзаки	https://www.wildberries.ru/catalog/zhenshchinam/aksessuary/sumki-i-ryukzaki/ryukzaki	0	4
Аксессуары. Сумки и рюкзаки. Сумки	https://www.wildberries.ru/catalog/aksessuary/sumki-i-ryukzaki/sumki	0	1
Аксессуары. Сумки и рюкзаки. Сумки хозяйственные	https://www.wildberries.ru/catalog/aksessuary/hozyaystvennye-sumki/sumki-hozyaystvennye	0	4
